"zcta","tmean","date","day","month","year"
"36311",6.05061337197235,"01/01/1981","01","01",1981
"36312",6.32523076399263,"01/01/1981","01","01",1981
"36313",6.05249732893998,"01/01/1981","01","01",1981
"36314",6.03371389253128,"01/01/1981","01","01",1981
"36316",6.04337808271852,"01/01/1981","01","01",1981
"36317",5.80309533009077,"01/01/1981","01","01",1981
"36318",6.01096200943153,"01/01/1981","01","01",1981
"36319",6.13256093905019,"01/01/1981","01","01",1981
"36320",6.44676022503532,"01/01/1981","01","01",1981
"36321",6.19162550551283,"01/01/1981","01","01",1981
"36322",6.12359600729652,"01/01/1981","01","01",1981
"36323",6.09942469170778,"01/01/1981","01","01",1981
"36330",6.0580647091138,"01/01/1981","01","01",1981
"36340",6.03237658020333,"01/01/1981","01","01",1981
"36343",6.61061915212045,"01/01/1981","01","01",1981
"36344",6.04520202815461,"01/01/1981","01","01",1981
"36345",5.93042806176882,"01/01/1981","01","01",1981
"36346",6.02626277564829,"01/01/1981","01","01",1981
"36350",5.92955676053766,"01/01/1981","01","01",1981
"36351",6.08882591354752,"01/01/1981","01","01",1981
"36352",6.07920071304972,"01/01/1981","01","01",1981
"36353",5.89153063647665,"01/01/1981","01","01",1981
"36360",6.01029932996853,"01/01/1981","01","01",1981
"36362",6.00449668175262,"01/01/1981","01","01",1981
"36370",6.4003945084259,"01/01/1981","01","01",1981
"36371",5.99556723910091,"01/01/1981","01","01",1981
"36373",5.72675522705983,"01/01/1981","01","01",1981
"36374",5.94223995215913,"01/01/1981","01","01",1981
"36375",6.11137519233098,"01/01/1981","01","01",1981
"36376",6.14787347670112,"01/01/1981","01","01",1981
"36401",6.20897224516177,"01/01/1981","01","01",1981
"36420",6.27942427150304,"01/01/1981","01","01",1981
"36421",6.31764480627388,"01/01/1981","01","01",1981
"36425",6.8700485029689,"01/01/1981","01","01",1981
"36426",6.06379341605576,"01/01/1981","01","01",1981
"36432",6.12035876392913,"01/01/1981","01","01",1981
"36435",6.58955726607946,"01/01/1981","01","01",1981
"36436",6.66565663380865,"01/01/1981","01","01",1981
"36439",6.45006108608309,"01/01/1981","01","01",1981
"36441",6.2662605449707,"01/01/1981","01","01",1981
"36442",6.25897110456206,"01/01/1981","01","01",1981
"36444",6.68147205879192,"01/01/1981","01","01",1981
"36445",6.49713988130276,"01/01/1981","01","01",1981
"36446",6.71096621840543,"01/01/1981","01","01",1981
"36451",6.73552531890346,"01/01/1981","01","01",1981
"36453",6.16331923429987,"01/01/1981","01","01",1981
"36454",6.2459109180261,"01/01/1981","01","01",1981
"36455",6.25959273131267,"01/01/1981","01","01",1981
"36456",6.2100337554069,"01/01/1981","01","01",1981
"36460",6.54823735349002,"01/01/1981","01","01",1981
"36467",6.36432580678533,"01/01/1981","01","01",1981
"36470",6.52811268785041,"01/01/1981","01","01",1981
"36471",6.78958280051401,"01/01/1981","01","01",1981
"36473",6.24353909475007,"01/01/1981","01","01",1981
"36474",6.21190625529207,"01/01/1981","01","01",1981
"36475",6.31753484498829,"01/01/1981","01","01",1981
"36476",6.20915680259875,"01/01/1981","01","01",1981
"36477",6.03619442574915,"01/01/1981","01","01",1981
"36480",6.32418552943026,"01/01/1981","01","01",1981
"36481",6.72132499411326,"01/01/1981","01","01",1981
"36482",6.60471773288145,"01/01/1981","01","01",1981
"36483",6.35563870980895,"01/01/1981","01","01",1981
"36502",6.3699898152025,"01/01/1981","01","01",1981
"36505",6.76077889689942,"01/01/1981","01","01",1981
"36507",6.81096580299452,"01/01/1981","01","01",1981
"36509",6.37093331117034,"01/01/1981","01","01",1981
"36511",7.30989102078385,"01/01/1981","01","01",1981
"36512",6.75016696295858,"01/01/1981","01","01",1981
"36513",6.44294130368182,"01/01/1981","01","01",1981
"36518",6.99218200423618,"01/01/1981","01","01",1981
"36521",6.73763357097199,"01/01/1981","01","01",1981
"36522",6.77143069672087,"01/01/1981","01","01",1981
"36523",6.86720450142071,"01/01/1981","01","01",1981
"36524",6.89406829882317,"01/01/1981","01","01",1981
"36525",6.88933297903165,"01/01/1981","01","01",1981
"36526",6.45143151277526,"01/01/1981","01","01",1981
"36527",6.58983841185455,"01/01/1981","01","01",1981
"36528",8.8119596963192,"01/01/1981","01","01",1981
"36529",6.73944499274331,"01/01/1981","01","01",1981
"36530",6.65651229706844,"01/01/1981","01","01",1981
"36532",6.74349052718416,"01/01/1981","01","01",1981
"36535",6.84635812102368,"01/01/1981","01","01",1981
"36538",6.88120951247866,"01/01/1981","01","01",1981
"36539",7.06884737581406,"01/01/1981","01","01",1981
"36540",6.47206617132196,"01/01/1981","01","01",1981
"36541",7.61524207358964,"01/01/1981","01","01",1981
"36542",7.82291883011388,"01/01/1981","01","01",1981
"36543",6.31405757090112,"01/01/1981","01","01",1981
"36544",6.79032829899545,"01/01/1981","01","01",1981
"36545",6.53214690862129,"01/01/1981","01","01",1981
"36548",6.59636918593708,"01/01/1981","01","01",1981
"36549",6.65433992831911,"01/01/1981","01","01",1981
"36550",6.22607536458127,"01/01/1981","01","01",1981
"36551",6.5114651527017,"01/01/1981","01","01",1981
"36553",6.4944866365156,"01/01/1981","01","01",1981
