point_id,long,lat
794,-125.25,89.25
795,-124.5,89.25
796,-123.75,89.25
797,-123,89.25
798,-122.25,89.25
799,-121.5,89.25
800,-120.75,89.25
801,-120,89.25
802,-119.25,89.25
803,-118.5,89.25
804,-117.75,89.25
805,-117,89.25
806,-116.25,89.25
807,-115.5,89.25
808,-114.75,89.25
809,-114,89.25
810,-113.25,89.25
811,-112.5,89.25
812,-111.75,89.25
813,-111,89.25
814,-110.25,89.25
815,-109.5,89.25
816,-108.75,89.25
817,-108,89.25
818,-107.25,89.25
819,-106.5,89.25
820,-105.75,89.25
821,-105,89.25
822,-104.25,89.25
823,-103.5,89.25
824,-102.75,89.25
825,-102,89.25
826,-101.25,89.25
827,-100.5,89.25
828,-99.75,89.25
829,-99,89.25
830,-98.25,89.25
831,-97.5,89.25
832,-96.75,89.25
833,-96,89.25
834,-95.25,89.25
835,-94.5,89.25
836,-93.75,89.25
837,-93,89.25
838,-92.25,89.25
839,-91.5,89.25
840,-90.75,89.25
841,-90,89.25
842,-89.25,89.25
843,-88.5,89.25
844,-87.75,89.25
845,-87,89.25
846,-86.25,89.25
847,-85.5,89.25
848,-84.75,89.25
849,-84,89.25
850,-83.25,89.25
851,-82.5,89.25
852,-81.75,89.25
853,-81,89.25
854,-80.25,89.25
855,-79.5,89.25
856,-78.75,89.25
857,-78,89.25
858,-77.25,89.25
859,-76.5,89.25
860,-75.75,89.25
861,-75,89.25
862,-74.25,89.25
863,-73.5,89.25
864,-72.75,89.25
865,-72,89.25
866,-71.25,89.25
867,-70.5,89.25
868,-69.75,89.25
869,-69,89.25
870,-68.25,89.25
871,-67.5,89.25
872,-66.75,89.25
873,-66,89.25
874,-65.25,89.25
875,-64.5,89.25
876,-63.75,89.25
877,-63,89.25
878,-62.25,89.25
879,-61.5,89.25
880,-60.75,89.25
881,-60,89.25
882,-59.25,89.25
883,-58.5,89.25
884,-57.75,89.25
885,-57,89.25
886,-56.25,89.25
887,-55.5,89.25
888,-54.75,89.25
889,-54,89.25
890,-53.25,89.25
891,-52.5,89.25
892,-51.75,89.25
893,-51,89.25
894,-50.25,89.25
895,-49.5,89.25
896,-48.75,89.25
897,-48,89.25
898,-47.25,89.25
899,-46.5,89.25
900,-45.75,89.25
901,-45,89.25
902,-44.25,89.25
903,-43.5,89.25
904,-42.75,89.25
905,-42,89.25
906,-41.25,89.25
907,-40.5,89.25
908,-39.75,89.25
909,-39,89.25
910,-38.25,89.25
911,-37.5,89.25
912,-36.75,89.25
913,-36,89.25
914,-35.25,89.25
915,-34.5,89.25
916,-33.75,89.25
917,-33,89.25
918,-32.25,89.25
919,-31.5,89.25
920,-30.75,89.25
921,-30,89.25
922,-29.25,89.25
923,-28.5,89.25
924,-27.75,89.25
925,-27,89.25
926,-26.25,89.25
927,-25.5,89.25
928,-24.75,89.25
929,-24,89.25
930,-23.25,89.25
931,-22.5,89.25
932,-21.75,89.25
933,-21,89.25
934,-20.25,89.25
935,-19.5,89.25
936,-18.75,89.25
937,-18,89.25
938,-17.25,89.25
939,-16.5,89.25
940,-15.75,89.25
941,-15,89.25
942,-14.25,89.25
943,-13.5,89.25
944,-12.75,89.25
945,-12,89.25
946,-11.25,89.25
947,-10.5,89.25
948,-9.75,89.25
949,-9,89.25
950,-8.25,89.25
951,-7.5,89.25
952,-6.75,89.25
953,-6,89.25
954,-5.25,89.25
955,-4.5,89.25
956,-3.75,89.25
957,-3,89.25
958,-2.25,89.25
959,-1.5,89.25
960,-0.75,89.25
961,0,88.5
962,0.75,88.5
963,1.5,88.5
964,2.25,88.5
965,3,88.5
966,3.75,88.5
967,4.5,88.5
968,5.25,88.5
969,6,88.5
970,6.75,88.5
971,7.5,88.5
972,8.25,88.5
973,9,88.5
974,9.75,88.5
975,10.5,88.5
976,11.25,88.5
977,12,88.5
978,12.75,88.5
979,13.5,88.5
980,14.25,88.5
981,15,88.5
982,15.75,88.5
983,16.5,88.5
984,17.25,88.5
985,18,88.5
986,18.75,88.5
987,19.5,88.5
988,20.25,88.5
989,21,88.5
990,21.75,88.5
991,22.5,88.5
992,23.25,88.5
993,24,88.5
994,24.75,88.5
995,25.5,88.5
996,26.25,88.5
997,27,88.5
998,27.75,88.5
999,28.5,88.5
1000,29.25,88.5
1001,30,88.5
1002,30.75,88.5
1003,31.5,88.5
1004,32.25,88.5
1005,33,88.5
1006,33.75,88.5
1007,34.5,88.5
1008,35.25,88.5
1009,36,88.5
1010,36.75,88.5
1011,37.5,88.5
1012,38.25,88.5
1013,39,88.5
1014,39.75,88.5
1015,40.5,88.5
1016,41.25,88.5
1017,42,88.5
1018,42.75,88.5
1019,43.5,88.5
1020,44.25,88.5
1021,45,88.5
1022,45.75,88.5
1023,46.5,88.5
1024,47.25,88.5
1025,48,88.5
1026,48.75,88.5
